gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4461921850	StillImage	image/jpeg	https://observation.org/photos/62951261.jpg							Peter Gels			http://creativecommons.org/licenses/by-nc-nd/4.0/	Peter Gels
4461921829	StillImage	image/jpeg	https://observation.org/photos/62866774.jpg							Hofmans, Hedwige			http://creativecommons.org/licenses/by-nc-nd/4.0/	Hofmans, Hedwige
4461921829	StillImage	image/jpeg	https://observation.org/photos/62866773.jpg							Hofmans, Hedwige			http://creativecommons.org/licenses/by-nc-nd/4.0/	Hofmans, Hedwige
4461921813	StillImage	image/jpeg	https://observation.org/photos/62804242.jpg							Peter Gels			http://creativecommons.org/licenses/by-nc-nd/4.0/	Peter Gels
4461921644	StillImage	image/jpeg	https://observation.org/photos/61168380.jpg							H. Coops			http://creativecommons.org/licenses/by-nc-nd/4.0/	H. Coops
4461921264	StillImage	image/jpeg	https://observation.org/photos/76126348.jpg							Dorothee Scharping-Hammad			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dorothee Scharping-Hammad
4461911935	StillImage	image/jpeg	https://observation.org/photos/79593565.jpg							Jolien Morren			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jolien Morren
4461910164	StillImage	image/jpeg	https://observation.org/photos/58402444.jpg							H. Coops			http://creativecommons.org/licenses/by-nc-nd/4.0/	H. Coops
4461889800	StillImage	image/jpeg	https://observation.org/photos/79146440.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4461838729	StillImage	image/jpeg	https://observation.org/photos/15011620.jpg							Jesper Berndsen			http://creativecommons.org/licenses/by-nc/4.0/	Berndsen
4461838729	StillImage	image/jpeg	https://observation.org/photos/15011621.jpg							Jesper Berndsen			http://creativecommons.org/licenses/by-nc/4.0/	Berndsen
4461838729	StillImage	image/jpeg	https://observation.org/photos/15011622.jpg							Jesper Berndsen			http://creativecommons.org/licenses/by-nc/4.0/	Berndsen
4461800348	StillImage	image/jpeg	https://observation.org/photos/79906398.jpg							Jolien Morren			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jolien Morren
4461786695	StillImage	image/jpeg	https://observation.org/photos/79458706.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4461768206	StillImage	image/jpeg	https://observation.org/photos/78905569.jpg							MANUEL RUIZ			http://creativecommons.org/licenses/by-nc-nd/4.0/	MANUEL RUIZ
4461764565	StillImage	image/jpeg	https://observation.org/photos/98637743.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4461764565	StillImage	image/jpeg	https://observation.org/photos/98637741.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4461764565	StillImage	image/jpeg	https://observation.org/photos/98637742.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4461707360	StillImage	image/jpeg	https://observation.org/photos/69564644.jpg							hobo2000			http://creativecommons.org/licenses/by-nc-nd/4.0/	hobo2000
4461707360	StillImage	image/jpeg	https://observation.org/photos/69564645.jpg							hobo2000			http://creativecommons.org/licenses/by-nc-nd/4.0/	hobo2000
4461703753	StillImage	image/jpeg	https://observation.org/photos/79906341.jpg							Jolien Morren			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jolien Morren
4461695142	StillImage	image/jpeg	https://observation.org/photos/77668844.jpg							Christian Molls			http://creativecommons.org/licenses/by-nc-nd/4.0/	Christian Molls
4461695142	StillImage	image/jpeg	https://observation.org/photos/77668843.jpg							Christian Molls			http://creativecommons.org/licenses/by-nc-nd/4.0/	Christian Molls
4461689242	StillImage	image/jpeg	https://observation.org/photos/80386590.jpg							Bart van der Vorst			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bart van der Vorst
4461689242	StillImage	image/jpeg	https://observation.org/photos/68518884.jpg							Bart van der Vorst			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bart van der Vorst
4461654441	StillImage	image/jpeg	https://observation.org/photos/62969874.jpg							Peter Gels			http://creativecommons.org/licenses/by-nc-nd/4.0/	Peter Gels
4461654411	StillImage	image/jpeg	https://observation.org/photos/62843563.jpg							Peter Gels			http://creativecommons.org/licenses/by-nc-nd/4.0/	Peter Gels
4461633732	StillImage	image/jpeg	https://observation.org/photos/69633302.jpg							hobo2000			http://creativecommons.org/licenses/by-nc-nd/4.0/	hobo2000
4461607490	StillImage	image/jpeg	https://observation.org/photos/62866547.jpg							Hofmans, Hedwige			http://creativecommons.org/licenses/by-nc-nd/4.0/	Hofmans, Hedwige
4461607490	StillImage	image/jpeg	https://observation.org/photos/62866548.jpg							Hofmans, Hedwige			http://creativecommons.org/licenses/by-nc-nd/4.0/	Hofmans, Hedwige
4461595120	StillImage	image/jpeg	https://observation.org/photos/58402528.jpg							H. Coops			http://creativecommons.org/licenses/by-nc-nd/4.0/	H. Coops
4461588772	StillImage	image/jpeg	https://observation.org/photos/62951347.jpg							Peter Gels			http://creativecommons.org/licenses/by-nc-nd/4.0/	Peter Gels
4461588742	StillImage	image/jpeg	https://observation.org/photos/62826028.jpg							Peter Gels			http://creativecommons.org/licenses/by-nc-nd/4.0/	Peter Gels
4461584473	StillImage	image/jpeg	https://observation.org/photos/75508621.jpg							Paul Plaatsman			http://creativecommons.org/licenses/by-nc-nd/4.0/	Paul Plaatsman
4461584473	StillImage	image/jpeg	https://observation.org/photos/75508620.jpg							Paul Plaatsman			http://creativecommons.org/licenses/by-nc-nd/4.0/	Paul Plaatsman
4461579721	StillImage	image/jpeg	https://observation.org/photos/71434348.jpg							Hans&Elza van Driel			http://creativecommons.org/licenses/by-nc-nd/4.0/	Hans&Elza van Driel
